date,storageCapacity,storageCapacityAdded,cumulativeRenewableEnergyPurchase,energyIntensityEstimate,energyConsumptionRateEstimate,energyUsedSealDataEstimate,cumulativeEnergyUseEstimate,energyUsedStoreDataEstimate,close,volume
2020-08-24,498448,2053024,15734658.47,10618.24561,4929.158175,3137.985593,118299.9113,1.605600698,22.020189,16525999
2020-08-25,9237744,13984256,16020743.17,3906.016457,33604.70765,21374.51577,924813.6787,29.75662097,22.193523,12692456
2020-08-26,22553828,13212864,16306827.87,1514.930303,31820.94311,20195.46624,1688517.054,72.65039075,21.462585,11780846
2020-08-27,36361328,14277536,16592912.57,1017.17266,34445.66272,21822.78545,2515213.759,117.1271098,22.159378,12722236
2020-08-28,51427203,16174560,16878997.27,815.8238348,39074.13964,24722.32972,3452994.017,165.6573063,24.273489,14827319
2020-08-29,66588868,13150592,17165081.97,514.292326,31894.20682,20100.28535,4218455.718,214.4960616,23.958603,11909919
2020-08-30,79698897,13833952,17451166.67,452.6802643,33600.36552,21144.78061,5024865.266,256.726087,23.271317,12931604
2020-08-31,93902134,14401344,17737251.37,400.6002507,35033.76471,22012.02226,5865676.426,302.477554,23.135849,11390455
2020-09-01,108235381,13977696,18023369.4,338.1838321,34089.6248,21364.48901,6683828.205,348.6478093,23.747984,15030026
2020-09-02,122057055,13924832,18309487.43,299.3870224,34032.6673,21283.68797,7500613,393.1701856,23.038567,12435331
2020-09-03,135607368,14234944,18595605.46,275.9063309,34845.3702,21757.68486,8336902.683,436.8184538,21.631742,12912275
2020-09-04,150591341,14609408,18881723.5,255.4008898,35819.74888,22330.04185,9196577.475,485.0848276,20.949558,12383956
2020-09-05,165302294,15378912,19167841.53,245.1496122,37740.72348,23506.20562,10102355.7,532.4717494,19.890278,11157500
2020-09-06,181284907,16179360,19453959.56,235.3922463,39742.38547,24729.66638,11056173.86,583.9549424,20.203026,10939716
2020-09-07,197461582,15990240,19740077.6,214.0852247,39370.36465,24440.60213,12001063.51,636.0632479,20.467377,9957541
2020-09-08,212556411,14180928,20026195.63,177.3345746,35104.90128,21675.12302,12843581.93,684.6867111,20.077477,9091454
2020-09-09,225733428,12467200,20312313.66,147.738275,31059.11171,19055.74118,13589001.31,727.1325183,20.313395,9581440
2020-09-10,238218136,12554176,20598431.69,141.2208564,31330.96655,19188.68139,14340945.21,767.3482597,19.929527,10236703
2020-09-11,251328502,13990464,20884549.73,148.8624693,34843.92669,21384.00451,15177200.24,809.5793706,18.918404,12620734
2020-09-12,265805237,14373408,21170667.76,144.7627918,35836.08957,21969.32293,16037267.19,856.2118294,18.329935,9289330
2020-09-13,279429178,12846848,21456785.79,123.8928211,32241.70688,19636.02176,16811068.88,900.0972682,18.18145,9197071
2020-09-14,292516285,13080256,21742903.83,120.6488285,32868.00078,19992.77889,17599901.63,942.2534572,18.128639,9357731
2020-09-15,304906961,11985056,22029021.86,106.7114946,30302.51481,18318.79854,18327162.66,982.1663028,17.911659,9374042
2020-09-16,316691714,11650336,22315139.89,100.2192719,29558.88677,17807.18907,19036576.59,1020.127349,18.02022,8725364
2020-09-17,329044193,13157152,22601257.92,108.4603129,33237.25996,20110.31212,19834271.57,1059.917154,18.568575,9442269
2020-09-18,342387234,13806400,22887375.96,109.3311221,34862.73857,21102.66821,20670978.07,1102.897758,18.906687,8882176
2020-09-19,356456000,13915616,23173493.99,106.0197865,35195.97372,21269.60159,21515682.22,1148.216067,18.139364,7207981
2020-09-20,369501711,12163008,23459612.02,90.24684095,31056.21985,18590.79284,22261032.18,1190.238911,16.745331,6940381
2020-09-21,382386300,13514912,23745730.05,96.49854039,34365.54206,20657.13754,23085805.94,1231.74275,15.709917,8554981
2020-09-22,395864521,14000288,24031848.09,96.55716651,35598.46102,21399.0202,23940169.79,1275.158795,16.351149,7167104
2020-09-23,409845484,13530528,24317966.12,90.49524189,34541.88464,20681.00613,24769175.78,1320.194273,16.112314,8097062
2020-09-24,423384187,13591264,24604084.15,88.14471876,34756.10175,20773.83929,25603322.99,1363.805143,16.590204,8848886
2020-09-25,436700057,13132032,24890202.19,82.91298499,33721.42582,20071.91695,26412637.94,1406.698224,16.349289,8632239
2020-09-26,449566170,12802272,25176320.22,78.80551372,32995.16903,19567.88868,27204522.72,1448.142547,16.221144,8505810
2020-09-27,462861672,13481024,25462438.25,80.47631315,34691.20791,20605.34075,28037112.46,1490.970018,15.173901,8759600
2020-09-28,476564953,14081792,25748556.28,81.56660468,36202.171,21523.59662,28905965.35,1535.111027,17.763321,17132372
2020-09-29,490906709,14726176,26034674.32,82.72451595,37821.02827,22508.51823,29813670.86,1581.308691,21.540382,16078227
2020-09-30,506323016,16208128,26320792.35,87.91268199,41455.23001,24773.6374,30808597.29,1630.967699,22.186716,14750775
2020-10-01,523302758,17270400,26614909.31,90.46680297,44090.23328,26397.28829,31866763.85,1685.662844,21.758898,15845294
2020-10-02,540054934,16409824,26901026.26,83.72312573,42109.83137,25081.92369,32877400.73,1739.624953,20.70903,17809501
2020-10-03,556692019,16731264,27187143.22,82.87108286,42965.32873,25573.23509,33908569.55,1793.216332,20.316441,11834165
2020-10-04,573316123,16328704,27473260.18,78.81635014,42083.37915,24957.9342,34918571.57,1846.765895,21.564394,13751247
2020-10-05,589462897,16063840,27759377.14,75.64835988,41529.44439,24553.09752,35915279.13,1898.777884,20.777245,13939732
2020-10-06,604849072,15066048,28045494.09,69.61155576,39212.85728,23028.00239,36856388.55,1948.339831,19.470373,12446092
2020-10-07,620513758,15891296,28331611.05,71.41812279,41272.42394,24289.3692,37846927.62,1998.798917,19.500299,14696171
2020-10-08,637046450,16793440,28617728.01,73.35449185,43520.90752,25668.26924,38891430.34,2052.054025,20.234339,14326140
2020-10-09,653366103,16827360,28903844.97,71.79166143,43684.83839,25720.11494,39939867.4,2104.622891,22.22176,18017452
2020-10-10,670565091,16985568,29189961.92,70.69750652,44151.46997,25961.93112,40999503.64,2160.024271,26.134886,14383633
2020-10-11,687092040,15725664,29476078.88,64.40285004,41211.66246,24036.20565,41988584.42,2213.260879,26.476744,22896861
2020-10-12,700167777,11251744,29762195.84,46.83725526,30541.73374,17197.95315,42721586.66,2255.380443,27.37142,20190714
2020-10-13,713290777,14750240,30048312.8,58.71324809,39003.43399,22545.29933,43657669.9,2297.652251,33.309551,26861144
2020-10-14,728089175,14635936,30334429.75,57.22575779,38803.97862,22370.5891,44588966.21,2345.320851,30.216923,31721719
2020-10-15,740427140,8998752,30620546.71,36.74550427,25338.83661,13754.32247,45197098.79,2385.063903,59.259228,155585295
2020-10-16,747254940,5496512,30906663.67,24.38308051,16969.04876,8401.253697,45604356.27,2407.057613,44.040546,298888285
2020-10-17,752852822,6105600,31192780.63,26.32677297,18458.98603,9332.226432,46047372.27,2425.08951,41.978329,146392993
2020-10-18,759075393,6242240,31478897.59,26.61929197,18818.35006,9541.076573,46499013.03,2445.133656,32.441029,113244527
2020-10-19,764893562,5329792,31765014.54,23.38440237,16658.17464,8146.427178,46898809.52,2463.875142,33.882938,165602768
2020-10-20,771021770,7059360,32051131.5,29.02169428,20839.60743,10790.01998,47398960.49,2483.615326,31.051367,159278253
2020-10-21,778385567,7564192,32337248.46,30.46963422,22088.29253,11561.64055,47929079.93,2507.335588,26.82373,121870445
2020-10-22,785860588,7453472,32623365.42,29.8684366,21860.40128,11392.40835,48453729.98,2531.414126,23.770475,131813182
2020-10-23,793812131,8501952,32909482.37,33.02693045,24416.64975,12994.97857,49039730.05,2557.027636,24.497433,152750723
2020-10-24,802789656,9597216,33195599.33,36.23370866,27090.35436,14669.05674,49689899.1,2585.94604,25.737793,209835957
2020-10-25,813196776,11368576,33481716.29,41.45213778,31393.715,17376.52736,50443348.89,2619.469455,38.494858,362525482
2020-10-26,825357775,12541792,33767833.25,44.58400567,34270.58059,19169.75282,51265843.53,2658.642465,33.72261,328497595
2020-10-27,838198387,13054400,34053950.2,45.55997494,35565.62356,19953.25877,52119419.23,2700.004644,35.245758,281520832
2020-10-28,851544351,13896832,34340067.16,47.48011823,37654.70019,21240.89081,53023132.81,2742.994663,33.615265,216184588
2020-10-29,865789495,14203936,34626184.12,47.70222126,38463.69875,21710.29006,53946262.38,2788.881121,32.643192,185711692
2020-10-30,880083015,14495808,34912301.08,47.87020315,39236.38977,22156.40765,54887936.54,2834.923408,29.268766,209568228
2020-10-31,894641666,15098784,35198418.03,48.91620047,40756.97724,23078.03838,55866104.84,2881.819735,31.146847,181778860
2020-11-01,909785861,14714496,35484769.4,47.10397381,39911.39063,22490.6657,56823979.04,2930.602215,31.591875,141046706
2020-11-02,924420563,14379552,35771120.77,45.51063142,39181.63806,21978.71385,57764339.16,2977.743518,29.743048,219772147
2020-11-03,938462513,14025920,36057472.13,43.93998244,38404.04222,21438.19794,58686036.96,3022.975447,28.788294,259968420
2020-11-04,953344992,15973088,36343823.5,48.60152824,43151.9221,24414.38582,59721683.99,3070.914888,28.857746,193294321
2020-11-05,969635911,15816064,36630174.86,47.45893735,42857.49975,24174.37934,60750264.87,3123.391197,29.346533,114425034
2020-11-06,985090454,16313312,36916526.23,48.10020067,44128.90274,24934.40799,61809359.45,3173.17337,31.754433,222704034
